generation,condition,mean_fitness,std_fitness,median_fitness,max_fitness,min_fitness,n_alive_at_end,mean_birth_weight_norm,mean_death_weight_norm,mean_weight_delta_frobenius
8,BASELINE,0.5816967413026413,0.12107083749655054,0.5614918230441289,0.7683745309717201,0.2948434239200182,0,11.339641571044922,11.339641571044922,0.0
9,EVO_ONLY,2.6210831139486914,0.5285761333749285,2.790151589981036,2.969179950843923,0.27017043517902495,139,11.372274023691814,11.372274023691814,0.0
9,LEARN_ONLY,1.604046032536144,1.0684954427374591,1.2980286426415464,2.9753481678206994,0.29148200535662516,70,11.381458479563396,10.925327835083008,6.779439034859339
9,EVO_LEARN,2.579408649907068,0.5598819311002141,2.8163097138396735,2.961188775071056,0.25818935525420644,130,11.26075579961141,11.16759173075358,9.440265114704768
9,BASELINE,0.5823929945341116,0.11889567308098334,0.5663175531520832,0.7635884547619974,0.22672565753628385,0,11.339641571044922,11.339641571044922,0.0
10,EVO_ONLY,2.642774029604581,0.5227995570842915,2.8061582917495587,2.971905356083438,0.5431330924481154,130,11.3886137008667,11.3886137008667,0.0
10,LEARN_ONLY,1.236219582916039,0.973501664550303,0.6902639521756437,2.9554395418449495,0.22247943340100773,47,11.337671235402425,10.840345726013183,5.70314669072628
10,EVO_LEARN,2.6621062995578306,0.5215433418088772,2.8551295360129485,2.9746012063270433,0.4537118632905184,137,11.220671323140463,11.183110847473145,9.764343825181326
10,BASELINE,0.561288373946399,0.11614240671505377,0.535844970870989,0.7685764866030131,0.2373793190372141,0,11.339641571044922,11.339641571044922,0.0
11,EVO_ONLY,2.523453815453196,0.6362842619177751,2.800798078332622,2.9735925201057456,0.29959273324185876,128,11.38386651357015,11.38386651357015,0.0
11,LEARN_ONLY,1.6385474903977715,1.0657303661331416,1.6752930231789973,2.9595721408920017,0.2548333970794671,72,11.340545482635498,10.890949948628743,6.614788724184036
11,EVO_LEARN,2.524486890291282,0.6180196388802837,2.7491272618424114,2.964825900773589,0.31346838408149785,126,11.195775400797526,11.139027576446534,9.325050607522329
11,BASELINE,0.5631780259951896,0.13478899775763423,0.5217328050052472,1.3692215981928881,0.28891406657174223,1,11.339641571044922,11.339641571044922,0.0
12,EVO_ONLY,2.5212632626749336,0.6794851602362222,2.786214396922868,2.968812941394889,0.32784017980098734,122,11.388696333567301,11.388696333567301,0.0
12,LEARN_ONLY,1.5210568274928657,1.03692288576765,0.8169666040583359,2.9658041653645455,0.1957009991845667,62,11.372826296488444,10.903446184794108,6.50130429337422
12,EVO_LEARN,2.5528824718119667,0.5673226491523133,2.7564861348709995,2.970130212314457,0.3211550809655872,127,11.229917710622152,11.139219029744465,9.267568163077037
12,BASELINE,0.5702097586719248,0.11712595067416783,0.531339160078442,0.7711312860706863,0.19958194425360903,0,11.339641571044922,11.339641571044922,0.0
13,EVO_ONLY,2.7600213075156996,0.32434981847828714,2.8580013374888207,2.9690366213756265,0.6442619975904621,144,11.425988559722901,11.425988559722901,0.0
13,LEARN_ONLY,1.6233890100996973,1.0517456249166353,1.41394356046737,2.976698724065733,0.28303341865539555,69,11.340157992045084,10.92174160003662,6.724031732082367
13,EVO_LEARN,2.709353754324615,0.4526283500077371,2.8788464350282523,2.9750812666329525,0.32443679549763255,140,11.28921049753825,11.21500695546468,10.031150472561519
13,BASELINE,0.5661841662172203,0.12035260112475069,0.5283756326168643,1.0422346499249548,0.293827750309334,0,11.339641571044922,11.339641571044922,0.0
14,EVO_ONLY,2.74391415130585,0.33723110829448694,2.8785696683764277,2.967675389258288,0.62849173956666,144,11.443715705871583,11.443715705871583,0.0
14,LEARN_ONLY,1.5940626842472072,1.0685456274640361,0.9207810806112364,2.966468893869568,0.24895961973402236,62,11.326371885935465,10.918450311024984,6.652591933012008
14,EVO_LEARN,2.773299374707935,0.26847551825495974,2.864728361601909,2.9720115175314015,0.6912360799312595,142,11.313440373738606,11.23213903427124,10.082994271914163
14,BASELINE,0.5539743230558674,0.12099018770162842,0.5192427372727506,0.7594369796755521,0.23970887006003697,0,11.339641571044922,11.339641571044922,0.0
15,EVO_ONLY,2.7013468498504034,0.45051544299408347,2.8536248946380387,2.972868227088917,0.36157108545303346,139,11.536768442789713,11.536768442789713,0.0
15,LEARN_ONLY,1.662405656422768,1.0765985218936902,1.8651739812586972,2.9649474049213347,0.2106705743565563,75,11.408803977966308,10.954240372975667,6.889937777121862
15,EVO_LEARN,2.714359234321434,0.4211895669680109,2.8394245240530376,2.9675383271932607,0.34712687790393826,144,11.262206745147704,11.248449579874675,10.493543763558069
15,BASELINE,0.5472714951471815,0.10416734511830832,0.5044334990434534,0.7758745782797576,0.23485339014128453,0,11.339641571044922,11.339641571044922,0.0
16,EVO_ONLY,2.668795126615611,0.41447480807662224,2.7929073534091793,2.9636182945997267,0.47614887898373914,136,11.392889823913574,11.392889823913574,0.0
16,LEARN_ONLY,1.5501679151100904,1.0534097503764441,0.9165588928299527,2.95117788859647,0.28350970387458807,61,11.22011157353719,10.84419537862142,6.372427470684052
16,EVO_LEARN,2.8115179346195833,0.13839680977045324,2.856758091330561,2.96135800437811,2.233804542747558,147,11.227044830322265,11.253026243845621,10.67144683043162
16,BASELINE,0.5767626843709613,0.12722315283252342,0.5723586231165015,0.7706109584437301,0.22548200416502115,0,11.339641571044922,11.339641571044922,0.0
17,EVO_ONLY,2.594571962681131,0.5099195302763829,2.784519074927778,2.9587601668457193,0.37020835347473613,129,11.394780750274657,11.394780750274657,0.0
17,LEARN_ONLY,1.5450283699893645,1.0402754124357987,1.038901324553914,2.960150096770007,0.26078731965172425,61,11.281134955088298,10.846089363098145,6.478897877732913
17,EVO_LEARN,2.664523527834268,0.36238121186128736,2.782984652687594,2.952275287095794,0.6620855391940048,132,11.250439160664877,11.223016910552978,10.147828862667083
17,BASELINE,0.5577320482975604,0.12249691953486024,0.5256322638685985,0.7517824673366947,0.18932324560245226,0,11.339641571044922,11.339641571044922,0.0
18,EVO_ONLY,2.6006160006945196,0.4993476120671481,2.716355420176373,2.9699878605570644,0.2828968870639802,137,11.362266330718994,11.362266330718994,0.0
18,LEARN_ONLY,1.6285347204986382,1.0511322147175193,1.865581385494529,2.9640116672696872,0.27134590744972237,69,11.346934146881104,10.936174227396647,6.669976367950439
18,EVO_LEARN,2.638210197403308,0.4002053267806654,2.7060572577949396,2.9714109279870993,0.3358775592564294,140,11.260982958475749,11.225649477640788,10.14794384598732
18,BASELINE,0.5650531196869305,0.13401615809707237,0.5326832608934869,0.7720004382077208,0.2155139290428532,0,11.339641571044922,11.339641571044922,0.0
19,EVO_ONLY,2.708656681254597,0.4697074496694152,2.8662883804981494,2.9691351400176065,0.3116234817776606,140,11.489014002482095,11.489014002482095,0.0
19,LEARN_ONLY,1.6367010627144791,1.0628154009375803,1.8533781003957048,2.954728055400051,0.2907261020994747,74,11.367408962249756,10.960267003377279,6.957425642907619
